Complexity,Loss,Equation
1,0.08501918773878159,"0.5053579082560652"
3,0.01915608192714235,"(x1 * 0.0002253707065032259)"
5,0.007152711254919411,"sqrt(x1 * 0.00016653688750720838)"
6,0.00043354913271561593,"tanh(x1 * 0.00033385296804023433)"
8,0.0001315304592119163,"(tanh(x1 * 0.00029595236374507983) / 0.9232066818691288)"
10,0.0001315192615986266,"(tanh((x1 + 0.5860591607955404) * 0.00029586436052357476) / 0.9232066818691288)"
12,6.476290014251574e-5,"sqrt(tanh(sq((x1 + 104.29618038229312) * -0.00027210968442109833)))"
14,6.476211832480009e-5,"sqrt(tanh(sq(((x1 + 103.98162908984764) - -0.19559885875333294) * -0.00027210968442109833)))"
